id,topic,subtopic,prompt,difficulty,baseline_answer
eval_dl_001,deep_learning,backpropagation,Explain why backpropagation works backward from the loss to earlier layers.,medium,"Simple Definition: Backpropagation is a technique used in machine learning algorithms to adjust the weights of neural networks so that they minimize the difference between the network's predictions and actual outcomes. It works by calculating the error at each layer and adjusting the weights based on this error to improve the model's performance.

Intuition: Imagine you're building a bridge using blocks. The first block (input) needs to be placed correctly before any other blocks can be added. Similarly, in backpropagation, we start with the input data and work backwards through the network until we reach the output layer. Each step helps refine our understanding of how changes in one part of the network affect the others, leading to better overall performance.

Small Example: Consider a simple neural network with two hidden layers. At the end of training, after adjusting the weights, the final layer might have some errors. If we want to correct these errors, we would go backwards through the network, starting from the last layer and working our way up to the input layer. This process helps us understand which parts of the network need adjustment to make the model more accurate.

Exam Takeaway: Understanding how backpropagation works allows us to fine-tune our models by adjusting their weights in reverse order, ensuring that the model learns effectively over time. This method is crucial for improving the accuracy and efficiency of machine learning algorithms."
eval_dl_002,deep_learning,optimization,Why does gradient descent update weights in the opposite direction of the gradient?,medium,"1. **Simple Definition**: Gradient descent updates weights in the opposite direction of the gradient because it aims to minimize the loss function by moving towards the direction where the change in the loss decreases most rapidly. This ensures that the model's parameters converge to the optimal solution faster.

2. **Intuition**: The intuition behind this approach comes from the concept of the steepest ascent path in a landscape. In a two-dimensional space, the steepest ascent path points upwards (towards higher values) while the steepest descent path points downwards (towards lower values). By updating weights in the opposite direction of the gradient, we're essentially moving along the steepest ascent path, which helps in finding the minimum value of the loss function.

3. **Small Example**: Consider a simple linear regression problem where you want to find the best fit line through a set of data points. If you were to apply gradient descent directly on the loss function, you'd be moving in the same direction as the gradient, which would lead to overshooting the true solution. However, if you adjust your step size in the opposite direction of the gradient, you're effectively moving away from the local minima, which is more likely to be the global minimum. This process converges much faster than just moving in one direction.

4. **Exam Takeaway**: Understanding why gradient descent updates weights in the opposite direction of the gradient is crucial for understanding how optimization algorithms work in machine learning and other fields. It allows"
eval_dl_003,deep_learning,regularization,Explain the difference between dropout and weight decay for reducing overfitting.,medium,"Simple definition: Dropout is a regularization technique where randomly selected neurons are removed during training, effectively preventing them from learning too much information at once. Weight decay, on the other hand, adds a penalty term to the loss function proportional to the square of the weights, encouraging the model to learn more complex features while keeping simpler ones under control.

Intuition: Dropout helps prevent overfitting by making the network less sensitive to individual data points, as it removes redundant connections. Weight decay encourages the model to learn more complex representations by penalizing large weights, which can help in capturing intricate patterns in the data.

Small example (if needed): Consider a simple neural network with two layers, each having 50 neurons. Initially, both layers have random weights. After applying dropout, some neurons might be dropped out, leaving fewer connections intact. This results in a smaller output layer compared to the original one, indicating that the network has learned less about the input data. However, after adding weight decay, the model learns more complex features because the larger weights encourage deeper connections, leading to better performance.

Exam takeaway: Understanding the difference between dropout and weight decay is crucial for effective machine learning models. Dropout helps prevent overfitting by removing redundancy, while weight decay encourages complexity by penalizing large weights. Both techniques contribute to better generalization and model robustness."
eval_dl_004,deep_learning,cnn,Why do CNNs use shared filters across an image?,medium,"1. **Simple Definition:** CNNs (Convolutional Neural Networks) use shared filters because they allow the network to learn features from multiple images simultaneously, which can improve its ability to recognize objects and scenes without overfitting to any single image.

2. **Intuition:** The intuition behind this is that sharing filters allows the network to capture more information from each input image, making it easier to generalize to new, unseen data. This is akin to having a versatile tool kit that can adapt to different situations based on the context of the image.

3. **Small Example:** Consider a scenario where you have two images of cats: one showing a cat looking at a dog, and another showing a cat looking directly at the camera. If you apply a filter to both images, the network will learn to distinguish between the two cats. However, if you apply the same filter to both images again, the network might still be able to identify the cat looking at the dog, even though it has learned to differentiate between the two cats. This demonstrates how the shared filter helps the network to learn from multiple inputs effectively.

4. **Exam Takeaway:** In summary, CNNs use shared filters because they enable the network to learn from multiple images, thereby improving its ability to recognize objects and scenes without overfitting to any single image. This approach is crucial for tasks like object detection and scene recognition, as it allows the network to generalize well to new, unseen data."
eval_dl_005,deep_learning,attention,Explain query key and value in attention using a simple analogy.,medium,"Simple definition: In attention, a query key represents a specific piece of information about a document or topic being searched. It's like a clue that helps narrow down what you're looking for.

Intuition: Think of it as a puzzle piece that fits into the right spot to find the exact thing you need. Just like how a puzzle piece fits perfectly where it belongs, a query key fits precisely where it needs to be.

Small example: Imagine you have a big box of crayons. Each crayon has a name (query key) and a color (value). If you want to find a particular colored crayon, you would look for the one with that specific color. The query key tells you which crayon to look for, just like knowing which crayon to pick out from your box.

Exam takeaway: Understanding query keys and values is like having a special tool that helps you focus on the most relevant information in a search. It's like finding the perfect match in a game of hide-and-seek!"
eval_dl_006,deep_learning,transformer,Why does self-attention allow Transformers to process relationships between tokens?,medium,"Simple definition: Self-attention allows Transformers to process relationships between tokens because it enables them to understand context and meaning within each token independently while also considering the overall relationship between all tokens.

Intuition: Imagine you're trying to solve a puzzle where each piece has its own color. Self-attention works similarly; it helps each piece (token) understand its position relative to others without being influenced by other pieces' positions, allowing it to see the bigger picture of how all pieces fit together.

Small example: Consider a game where two players are trying to move their pieces around on a board. Each player can see their own piece's location and orientation, but they don't know about the other player's piece's movements. With self-attention, both players can see the entire board at once, knowing that the other player will be moving their piece as well, thus understanding the larger movement pattern.

Exam takeaway: Understanding how self-attention works is crucial for developing more advanced language models like Transformers, which can handle complex relationships between words and phrases in natural language processing tasks."
eval_dl_007,deep_learning,rnn_lstm,Explain why LSTM gates help with long-term dependencies.,medium,"Simple Definition: 
LSTM (Long Short-Term Memory) gates help capture long-term dependencies because they allow the network to remember past information while also learning new patterns over time.

Intuition: 
Imagine you have a sequence of numbers representing your daily activities. Each number represents a different activity at a specific moment. The LSTM gate helps remember how each activity has changed from one day to the next, even if it's just a slight difference. This allows the network to understand trends and learn from previous experiences without being overwhelmed by too much data.

Small Example:
Let's say you're tracking your daily commute times. At the start of the day, you might record your commute time as 5 minutes. As the day progresses, you might notice that your commute time increases slightly due to traffic or other factors. The LSTM gate can remember this increase and adjust its prediction accordingly, helping you stay on track with your schedule.

Exam Takeaway:
Understanding how LSTM gates handle long-term dependencies is crucial for developing more accurate models in fields like natural language processing, speech recognition, and machine translation. It enables the network to maintain context and make informed decisions based on historical data, which is essential for effective communication and decision-making."
eval_dl_008,deep_learning,rl,Why does DQN use both a replay buffer and a target network?,hard,"Simple definition: DQN uses both a replay buffer and a target network because they work together to improve learning efficiency and adaptability.

Intuition: The replay buffer stores experiences from previous training sessions, helping the agent learn from past mistakes and successes. The target network updates its weights based on the performance of the agent, allowing it to quickly adjust its strategy without needing new data every time.

Small example (if needed): Imagine you're playing a game where your goal is to collect as many points as possible. You might have a replay buffer that keeps track of how well you've played before, so you can learn from your mistakes. Meanwhile, your target network adjusts its strategy based on how well it's performing compared to other agents. This allows your agent to keep improving over time without having to retrain from scratch each time."
eval_dl_009,deep_learning,representation_learning,Explain why contrastive learning needs positive and negative examples.,hard,"Simple definition: Contrastive learning involves comparing two sets of data (positive and negative) to identify patterns and similarities between them.

Intuition: Positive examples are those that align well with the desired outcome, while negative examples are those that do not match the goal.

Small example: Imagine you're trying to predict whether someone will buy a product based on their past purchases. If all your positive examples are about buying groceries and none about buying electronics, it might be challenging to accurately predict which type of purchase they'll make next. Conversely, if you have many more negative examples like ""they never bought a new phone"" than positive ones like ""they recently bought an old TV,"" this could help improve your model's accuracy.

Exam takeaway: Understanding how to balance positive and negative examples is crucial for effective contrastive learning. It helps ensure that models can learn from both positive and negative experiences effectively."
eval_dl_010,deep_learning,model_compression,Compare pruning quantization and distillation in simple language.,hard,"Simple definition: Pruning quantization involves reducing the number of parameters used during training, while distillation combines knowledge from multiple models into one model's architecture without changing its weights.

Intuition: In pruning, you remove unnecessary parts of a model (like noise) to make it simpler and faster to train. In distillation, you combine information from different models to create a new model that can perform better than any individual model.

Small example: Imagine you have two models, Model A and Model B. If you want to improve Model A, you might prune some of its parameters to reduce complexity. But if you want to improve both, you could also combine their features using distillation techniques.

Exam takeaway: Understanding how to prune and combine models effectively is crucial for improving performance in machine learning tasks."
