id,topic,subtopic,prompt,difficulty,dpo_answer
eval_dl_001,deep_learning,backpropagation,Explain why backpropagation works backward from the loss to earlier layers.,medium,"Simple definition: Backpropagation is a technique used in machine learning algorithms to adjust weights of neural networks so that they minimize an error function based on the output of the network.

Intuition: The process starts from the end (the output layer) and moves backwards through the network, adjusting each weight to reduce the difference between the predicted output and the actual output. This helps the network learn how to make better predictions as it goes deeper into the model.

Small example: Consider a simple neural network with two hidden layers. If we want to predict the output of the first hidden layer, we would start at the top of the network (input layer). We then move down to the second hidden layer, where we might have some input data. After this step, we move back up to the output layer, which will give us the final prediction. By adjusting the weights of the connections between the hidden layers, we can make the network more accurate in predicting the correct output.

Exam takeaway: Understanding how backpropagation works allows you to fine-tune your neural network's performance by adjusting its weights in response to errors during training. It's like making sure all parts of a toy car work together correctly before trying to build a real one!"
eval_dl_002,deep_learning,optimization,Why does gradient descent update weights in the opposite direction of the gradient?,medium,"Simple definition: Gradient descent updates weights to minimize loss function by moving in the direction of steepest decrease of the loss function's value.

Intuition: The gradient points in the direction of the steepest increase in the loss function's value, which means it should be in the opposite direction of this increase to move towards the minimum.

Small example (for understanding): Consider a linear regression model where we want to find the best fit line through given data points. We start with some initial guess for the coefficients. After one iteration of gradient descent, the new estimate might be slightly different from the previous one because the gradient changes direction. This change helps us converge closer to the actual optimal solution.

Exam takeaway: Understanding how gradients point in the wrong direction can help explain why optimization algorithms like gradient descent work well in practice. It also shows the importance of considering both directions in learning processes."
eval_dl_003,deep_learning,regularization,Explain the difference between dropout and weight decay for reducing overfitting.,medium,"Simple definition: Dropout helps prevent overfitting by randomly dropping out some training examples during training time, while Weight Decay encourages learning by penalizing large weights, making them smaller.

Intuition: Dropout reduces noise from too many examples, preventing models from memorizing specific patterns. Weight Decay encourages learning by making model weights less significant, which can help avoid overfitting.

Small example (for understanding): Consider a simple neural network with two layers. Initially, both layers have 50 neurons each. After applying Dropout, only 25 neurons remain active at any given time. This means the network will learn more slowly because it's ignoring most of the data. However, after adding Weight Decay, the same network might still perform well because the larger weights are less likely to be too big, thus helping to generalize better.

Exam takeaway: Understanding how dropout and weight decay work is crucial for effective machine learning techniques. They're like tools that help prevent overfitting and encourage learning, respectively."
eval_dl_004,deep_learning,cnn,Why do CNNs use shared filters across an image?,medium,"1. **Simple Definition**: CNNs (Convolutional Neural Networks) use shared filters across images because they allow the network to learn features from multiple input images simultaneously, which can improve overall performance on complex tasks like image classification.

2. **Intuition**: The intuition behind this is that sharing filters allows the network to capture more information from each input image, thereby enhancing its ability to recognize patterns and classify objects within the same scene.

3. **Small Example** (If Needed): Consider a scenario where you have two images of different people. If you were using a CNN without shared filters, it would be difficult to distinguish between them because each person has their own unique feature maps. However, if you used shared filters, the network could learn to recognize the common facial features across both images, making it easier to identify the people as one group.

4. **Exam Takeaway**: This example illustrates how shared filters enable CNNs to generalize better by learning from multiple inputs, thus improving their accuracy and efficiency in recognizing objects in images."
eval_dl_005,deep_learning,attention,Explain query key and value in attention using a simple analogy.,medium,"Simple definition: In attention, ""query key"" refers to the most important information (or the word) that helps identify what you're looking for. It's like finding the needle in a haystack; the key helps us find the right thing.

Intuition: Think of it as a treasure map. The key points help you navigate through the map, leading you directly to your destination.

Small example: Imagine you're trying to find a specific book in a library. You look at the title page first, which is the query key. Then, you read the author's name next, which is the value. This way, you can quickly locate the book you need without having to go through all the other pages.

Exam takeaway: Understanding how to break down tasks into their most crucial parts is crucial in many fields, including studying. Knowing the ""key"" (the most important part) helps you focus on the essential details, making your work more efficient and effective."
eval_dl_006,deep_learning,transformer,Why does self-attention allow Transformers to process relationships between tokens?,medium,"Simple definition: Self-attention allows Transformers to process relationships between tokens because it enables them to focus on specific parts of the input data while ignoring others, allowing them to understand context and relationships more effectively.

Intuition: Imagine you have a bunch of toys scattered around a room. If you want to find all the red cars, you might start by looking at the red car toy first, then the other red cars, and so on. This method helps you quickly identify all the red cars without having to look through everything else.

Small example (for understanding): Suppose you're trying to recognize faces in a crowd. You can see one person's face from different angles, but focusing on just their eyes makes it easier to spot the person. Similarly, self-attention uses this idea to focus on specific parts of the input data rather than looking at everything at once.

Exam takeaway: Understanding how self-attention works is crucial for developing effective machine learning models like Transformers, which excel in tasks requiring attention to details."
eval_dl_007,deep_learning,rnn_lstm,Explain why LSTM gates help with long-term dependencies.,medium,"Simple definition: LSTM (Long Short-Term Memory) gates help capture long-term dependencies because they allow the network to remember past information and update its internal state based on new inputs.

Intuition: The gates' structure allows them to learn patterns over time, which is crucial for understanding complex sequences like language, sequence data, or sequential predictions.

Small example: Consider an LSTM cell where each gate controls the flow of information through the cell. If one gate is activated, it can influence how much information flows into the next layer, effectively learning from previous states. This process helps the network understand context and relationships between different parts of the input sequence.

Exam takeaway: Understanding how LSTM gates work and their role in capturing long-term dependencies is fundamental for comprehending neural networks and their applications in various fields such as natural language processing, speech recognition, and machine learning."
eval_dl_008,deep_learning,rl,Why does DQN use both a replay buffer and a target network?,hard,"Simple definition: DQN uses both a replay buffer and a target network because they work together to improve learning efficiency and adaptability.

Intuition: Replaying past experiences helps DQN learn from its mistakes, improving its decision-making skills over time. The target network updates based on how well it's performing, allowing DQN to adjust its strategy dynamically without needing new data every time.

Small example (optional): Imagine you're playing a game where your character has limited health points. If you lose too many lives, the AI learns this pattern and adjusts its strategy accordingly. This process of learning through experience and feedback is what makes DQN so effective at handling complex environments like video games."
eval_dl_009,deep_learning,representation_learning,Explain why contrastive learning needs positive and negative examples.,hard,"Simple definition: Contrastive learning involves comparing two sets of data to identify patterns and differences between them.

Intuition: When you have two groups of items (positive and negative), they often have different characteristics or behaviors. By comparing these groups, you can see how one group differs from the other.

Small example: Imagine you have two categories of animals - cats and dogs. If you compare their behavior, you might notice that cats are more independent than dogs. This difference could be due to factors like food availability, social interactions, or environmental conditions.

Exam takeaway: Understanding contrasts helps in making informed decisions about what actions to take based on observed differences. It's crucial for fields like psychology, biology, and marketing where understanding behavioral variations is essential."
eval_dl_010,deep_learning,model_compression,Compare pruning quantization and distillation in simple language.,hard,"Simple definition: Pruning quantization involves reducing the number of parameters used during training, while distillation focuses on improving model performance without changing its structure.

Intuition: Pruning helps reduce complexity by removing unnecessary parts of the network, making it easier to train. Distillation aims to improve generalization by sharing knowledge between models, which can lead to better performance.

Small example (for understanding): Imagine you have a simple neural network with two layers. The first layer has 50 neurons, and the second layer also has 50 neurons. If we prune this network, we might remove some connections, effectively reducing the number of parameters. This could make the network more efficient for training, similar to how pruning reduces the complexity of a complex system.

Exam takeaway: Understanding both pruning and distillation is crucial for optimizing model efficiency and effectiveness in various applications like computer vision, natural language processing, and deep learning."
eval_nlp_001,nlp,tokenization,Why do modern language models often use subword tokenization instead of word tokenization?,medium,"Simple Definition: Subword tokenization involves breaking down words into smaller units called ""subwords"" rather than individual letters or characters. This allows for more nuanced processing of text, such as recognizing longer sequences of words within sentences.

Intuition: It's like dividing a long string of beads into smaller segments so you can find specific groups of beads (words) without having to read each one individually.

Small Example: Imagine you have a sentence like ""The quick brown fox jumps over the lazy dog."" In word tokenization, this would be split into ""The"", ""quick"", ""brown"", ""fox"", ""jumps"", ""over"", ""the"", ""lazy"", ""dog"". But in subword tokenization, it might break down further into ""Th"", ""eQui"", ""kBn"", ""fXo"", ""Jumps"", ""Ov"", ""th"", ""lAy"", ""d"".

Exam Takeaway: Subword tokenization makes language models much more powerful because they can handle larger amounts of data efficiently, allowing them to understand context better and perform tasks like sentiment analysis, named entity recognition, and even machine translation."
