id,topic,subtopic,prompt,difficulty
dl_001,deep_learning,backpropagation,Explain backpropagation in simple language for exam revision.,easy
dl_002,deep_learning,backpropagation,What does the chain rule do during backpropagation?,easy
dl_003,deep_learning,backpropagation,Why do neural networks use gradients during training?,easy
dl_004,deep_learning,backpropagation,Explain forward pass and backward pass in a neural network.,easy
dl_005,deep_learning,backpropagation,Why can vanishing gradients make deep networks hard to train?,medium
dl_006,deep_learning,activation_functions,Explain the purpose of activation functions in neural networks.,easy
dl_007,deep_learning,activation_functions,What is the difference between sigmoid tanh and ReLU?,medium
dl_008,deep_learning,activation_functions,Why is ReLU often preferred over sigmoid in deep networks?,medium
dl_009,deep_learning,activation_functions,Explain softmax in simple language.,easy
dl_010,deep_learning,loss_functions,What is a loss function and why do we need it?,easy
dl_011,deep_learning,loss_functions,Explain cross entropy loss in simple language.,medium
dl_012,deep_learning,loss_functions,What is the difference between MSE loss and cross entropy loss?,medium
dl_013,deep_learning,optimization,Explain gradient descent using a simple analogy.,easy
dl_014,deep_learning,optimization,What is the difference between batch gradient descent mini-batch gradient descent and stochastic gradient descent?,medium
dl_015,deep_learning,optimization,Explain learning rate and why it matters.,easy
dl_016,deep_learning,optimization,What happens if the learning rate is too high or too low?,easy
dl_017,deep_learning,optimization,Explain momentum in optimization.,medium
dl_018,deep_learning,optimization,What does Adam optimizer do in simple language?,medium
dl_019,deep_learning,regularization,Explain overfitting in deep learning.,easy
dl_020,deep_learning,regularization,How does dropout help reduce overfitting?,medium
dl_021,deep_learning,regularization,What is weight decay in neural networks?,medium
dl_022,deep_learning,regularization,Explain early stopping in simple language.,easy
dl_023,deep_learning,cnn,What is a convolutional neural network used for?,easy
dl_024,deep_learning,cnn,Explain convolution in CNNs using a simple image example.,medium
dl_025,deep_learning,cnn,What is a filter or kernel in CNNs?,easy
dl_026,deep_learning,cnn,Explain stride and padding in CNNs.,medium
dl_027,deep_learning,cnn,What is pooling in CNNs and why is it useful?,easy
dl_028,deep_learning,cnn,Explain receptive field in CNNs.,medium
dl_029,deep_learning,rnn_lstm,Why are RNNs useful for sequence data?,easy
dl_030,deep_learning,rnn_lstm,Explain hidden state in an RNN.,easy
dl_031,deep_learning,rnn_lstm,Why do vanilla RNNs suffer from vanishing gradients?,medium
dl_032,deep_learning,rnn_lstm,Explain how LSTM helps remember long term information.,medium
dl_033,deep_learning,rnn_lstm,What are input gate forget gate and output gate in LSTM?,hard
dl_034,deep_learning,attention,Explain attention mechanism in simple language.,easy
dl_035,deep_learning,attention,What does it mean for one token to attend to another token?,easy
dl_036,deep_learning,attention,Explain query key and value in attention.,medium
